"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","names","NormHP","NormAttack","NormDefense","Performance","Grade"
"1",1,"Grass","Poison",318,45,49,49,65,65,45,"Bulbasaur",0.173228346456693,0.237837837837838,0.179591836734694,0.00759922953646238,"Weak"
"2",2,"Grass","Poison",405,60,62,63,80,80,60,"Ivysaur",0.232283464566929,0.308108108108108,0.236734693877551,0.0171427277188807,"Weak"
"3",3,"Grass","Poison",525,80,82,83,100,100,80,"Venusaur",0.311023622047244,0.416216216216216,0.318367346938775,0.0414136320797738,"Weak"
"4",3,"Grass","Poison",625,80,100,123,122,120,80,"Venusaur Mega Venusaur",0.311023622047244,0.513513513513513,0.481632653061224,0.0771238787236538,"Weak"
"5",4,"Fire","",309,39,52,43,60,50,65,"Charmander",0.149606299212598,0.254054054054054,0.155102040816327,0.00609513183438943,"Weak"
"6",5,"Fire","",405,58,64,58,80,65,80,"Charmeleon",0.224409448818898,0.318918918918919,0.216326530612245,0.0156821477431151,"Weak"
"7",6,"Fire","Flying",534,78,84,78,109,85,100,"Charizard",0.303149606299213,0.427027027027027,0.297959183673469,0.0387717325874806,"Weak"
"8",6,"Fire","Dragon",634,78,130,111,130,85,100,"Charizard Mega Charizard X",0.303149606299213,0.675675675675676,0.43265306122449,0.0888206791718603,"Weak"
"9",6,"Fire","Flying",634,78,104,78,159,115,100,"Charizard Mega Charizard Y",0.303149606299213,0.535135135135135,0.297959183673469,0.0485367281792479,"Weak"
"10",7,"Water","",314,44,48,65,50,64,43,"Squirtle",0.169291338582677,0.232432432432432,0.244897959183673,0.00983644023261571,"Weak"
"11",8,"Water","",405,59,63,80,65,80,58,"Wartortle",0.228346456692913,0.313513513513514,0.306122448979592,0.0221152142661704,"Weak"
"12",9,"Water","",530,79,83,100,85,105,78,"Blastoise",0.307086614173228,0.421621621621622,0.387755102040816,0.0504043422178405,"Weak"
"13",9,"Water","",630,79,103,120,135,115,78,"Blastoise Mega Blastoise",0.307086614173228,0.52972972972973,0.469387755102041,0.0765566716322622,"Weak"
"14",10,"Bug","",195,45,30,35,20,20,45,"Caterpie",0.173228346456693,0.135135135135135,0.122448979591837,0.0030664370621626,"Weak"
"15",11,"Bug","",205,50,20,55,25,25,30,"Metapod",0.192913385826772,0.0810810810810811,0.204081632653061,0.00339216854649926,"Weak"
"16",12,"Bug","Flying",395,60,45,50,90,80,70,"Butterfree",0.232283464566929,0.216216216216216,0.183673469387755,0.00942471563641418,"Weak"
"17",13,"Bug","Poison",195,40,35,30,20,20,50,"Weedle",0.153543307086614,0.162162162162162,0.102040816326531,0.00274070557782594,"Weak"
"18",14,"Bug","Poison",205,45,25,50,25,25,35,"Kakuna",0.173228346456693,0.108108108108108,0.183673469387755,0.00363972447459512,"Weak"
"19",15,"Bug","Poison",395,65,90,40,45,80,75,"Beedrill",0.251968503937008,0.459459459459459,0.142857142857143,0.0167384732313866,"Weak"
"20",15,"Bug","Poison",495,65,150,40,15,80,145,"Beedrill Mega Beedrill",0.251968503937008,0.783783783783784,0.142857142857143,0.0284126896300125,"Weak"
"21",16,"Normal","Flying",251,40,45,40,35,35,56,"Pidgey",0.153543307086614,0.216216216216216,0.142857142857143,0.00494265041194175,"Weak"
"22",17,"Normal","Flying",349,63,60,55,50,50,71,"Pidgeotto",0.244094488188976,0.297297297297297,0.204081632653061,0.0150099248211734,"Weak"
"23",18,"Normal","Flying",479,83,80,75,70,70,101,"Pidgeot",0.322834645669291,0.405405405405405,0.285714285714286,0.0375939744018484,"Weak"
"24",18,"Normal","Flying",579,83,80,80,135,80,121,"Pidgeot Mega Pidgeot",0.322834645669291,0.405405405405405,0.306122448979592,0.040264972573409,"Weak"
"25",19,"Normal","",253,30,56,35,25,35,72,"Rattata",0.114173228346457,0.275675675675676,0.122448979591837,0.00405405492267135,"Weak"
"26",19,"Dark","Normal",253,30,56,35,25,35,72,"Rattata Alolan Rattata",0.114173228346457,0.275675675675676,0.122448979591837,0.00405405492267135,"Weak"
"27",20,"Normal","",413,55,81,60,50,70,97,"Raticate",0.21259842519685,0.410810810810811,0.224489795918367,0.0198064295051922,"Weak"
"28",20,"Dark","Normal",413,75,71,70,40,80,77,"Raticate Alolan Raticate",0.291338582677165,0.356756756756757,0.26530612244898,0.0277751245380042,"Weak"
"29",21,"Normal","Flying",262,40,60,30,31,31,70,"Spearow",0.153543307086614,0.297297297297297,0.102040816326531,0.00485796022601422,"Weak"
"30",22,"Normal","Flying",442,65,90,65,61,61,100,"Fearow",0.251968503937008,0.459459459459459,0.244897959183673,0.0285516683966628,"Weak"
"31",23,"Poison","",288,35,60,44,40,54,55,"Ekans",0.133858267716535,0.297297297297297,0.159183673469388,0.00653482590737934,"Weak"
"32",24,"Poison","",448,60,95,69,65,79,80,"Arbok",0.232283464566929,0.486486486486487,0.261224489795918,0.0297190900365254,"Weak"
"33",25,"Electric","",320,35,55,40,50,50,90,"Pikachu",0.133858267716535,0.27027027027027,0.142857142857143,0.00536827288480832,"Weak"
"34",25,"Electric","",430,45,80,50,75,60,120,"Pikachu Partner Pikachu",0.173228346456693,0.405405405405405,0.183673469387755,0.0130989667797317,"Weak"
"35",26,"Electric","",485,60,90,55,90,80,110,"Raichu",0.232283464566929,0.459459459459459,0.204081632653061,0.0219805785859779,"Weak"
"36",26,"Electric","Psychic",485,60,85,50,95,85,110,"Raichu Alolan Raichu",0.232283464566929,0.432432432432432,0.183673469387755,0.0186494312728283,"Weak"
"37",27,"Ground","",300,50,75,85,20,30,40,"Sandshrew",0.192913385826772,0.378378378378378,0.326530612244898,0.0240348584805278,"Weak"
"38",27,"Ice","Steel",300,50,75,90,10,35,40,"Sandshrew Alolan Sandshrew",0.192913385826772,0.378378378378378,0.346938775510204,0.0255245371355608,"Weak"
"39",28,"Ground","",450,75,100,110,45,55,65,"Sandslash",0.291338582677165,0.513513513513513,0.428571428571429,0.0643169853768279,"Weak"
"40",28,"Ice","Steel",450,75,100,120,25,65,65,"Sandslash Alolan Sandslash",0.291338582677165,0.513513513513513,0.469387755102041,0.0704233649365258,"Weak"
